"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\css\style.css", "CSS", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\index.html", "HTML", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\engine.js", "JavaScript", 0, 0, 266, 0, 0, 4, 53, 323
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\json\tileData.json", "JSON", 0, 0, 0, 0, 72, 0, 6, 78
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\json\tileSolver.json", "JSON", 0, 0, 0, 0, 66, 0, 6, 72
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\main.js", "JavaScript", 0, 0, 75, 0, 0, 0, 14, 89
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\rendering\render.js", "JavaScript", 0, 0, 271, 0, 0, 1, 79, 351
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\rendering\tileRenderer.js", "JavaScript", 0, 0, 55, 0, 0, 0, 14, 69
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\updating\player.js", "JavaScript", 0, 0, 292, 0, 0, 0, 41, 333
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\updating\updater.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Minecat300\OneDrive\LEFT Documents\GitHub\Terraria_remake\docs\js\world\worldGen.js", "JavaScript", 0, 0, 311, 0, 0, 2, 60, 373
"Total", "-", 21, 1, 1273, 14, 138, 7, 276, 1730